none[0.0593]  arg1_node[0.9287]  arg2_node[0.0120]  arg1_node
none[0.9959]  arg1_node[0.0006]  arg2_node[0.0035]  none
none[0.9982]  arg1_node[0.0011]  arg2_node[0.0007]  none
none[0.3984]  arg1_node[0.0003]  arg2_node[0.6013]  arg2_node
none[0.9972]  arg1_node[0.0000]  arg2_node[0.0028]  none
none[0.9972]  arg1_node[0.0000]  arg2_node[0.0028]  none
none[0.9972]  arg1_node[0.0000]  arg2_node[0.0028]  none
none[0.9972]  arg1_node[0.0000]  arg2_node[0.0028]  none
none[0.9850]  arg1_node[0.0000]  arg2_node[0.0149]  none
none[0.9972]  arg1_node[0.0000]  arg2_node[0.0028]  none
none[0.9639]  arg1_node[0.0352]  arg2_node[0.0009]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9639]  arg1_node[0.0352]  arg2_node[0.0009]  none
none[0.9639]  arg1_node[0.0352]  arg2_node[0.0009]  none
none[0.9639]  arg1_node[0.0352]  arg2_node[0.0009]  none
none[0.9907]  arg1_node[0.0090]  arg2_node[0.0002]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.9898]  arg1_node[0.0100]  arg2_node[0.0003]  none
none[0.9903]  arg1_node[0.0095]  arg2_node[0.0002]  none
none[0.9942]  arg1_node[0.0053]  arg2_node[0.0005]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9981]  arg1_node[0.0009]  arg2_node[0.0010]  none
none[0.1446]  arg1_node[0.8407]  arg2_node[0.0147]  arg1_node
none[0.7017]  arg1_node[0.0712]  arg2_node[0.2271]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9816]  arg1_node[0.0081]  arg2_node[0.0103]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.7017]  arg1_node[0.0712]  arg2_node[0.2271]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9816]  arg1_node[0.0081]  arg2_node[0.0103]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0005]  arg2_node[0.0006]  none
none[0.4172]  arg1_node[0.0019]  arg2_node[0.5810]  arg2_node
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0025]  none
none[0.9564]  arg1_node[0.0003]  arg2_node[0.0432]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0025]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0025]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0025]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0025]  none
none[0.9935]  arg1_node[0.0045]  arg2_node[0.0020]  none
none[0.9974]  arg1_node[0.0000]  arg2_node[0.0026]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0025]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0025]  none
none[0.9975]  arg1_node[0.0000]  arg2_node[0.0025]  none
none[0.9762]  arg1_node[0.0232]  arg2_node[0.0006]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9762]  arg1_node[0.0232]  arg2_node[0.0006]  none
none[0.9762]  arg1_node[0.0232]  arg2_node[0.0006]  none
none[0.9762]  arg1_node[0.0232]  arg2_node[0.0006]  none
none[0.9762]  arg1_node[0.0232]  arg2_node[0.0006]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9762]  arg1_node[0.0232]  arg2_node[0.0006]  none
none[0.9762]  arg1_node[0.0232]  arg2_node[0.0006]  none
none[0.9872]  arg1_node[0.0125]  arg2_node[0.0003]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.5183]  arg1_node[0.4805]  arg2_node[0.0013]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.4990]  arg1_node[0.4996]  arg2_node[0.0013]  arg1_node
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.6187]  arg1_node[0.3803]  arg2_node[0.0010]  none
none[0.8425]  arg1_node[0.1569]  arg2_node[0.0006]  none
none[0.9512]  arg1_node[0.0447]  arg2_node[0.0041]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9867]  arg1_node[0.0123]  arg2_node[0.0010]  none
none[0.9878]  arg1_node[0.0119]  arg2_node[0.0003]  none
none[0.0841]  arg1_node[0.0010]  arg2_node[0.9149]  arg2_node
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9473]  arg1_node[0.0000]  arg2_node[0.0526]  none
none[0.3768]  arg1_node[0.5955]  arg2_node[0.0277]  arg1_node
none[0.6187]  arg1_node[0.2622]  arg2_node[0.1191]  none
none[0.9948]  arg1_node[0.0022]  arg2_node[0.0030]  none
none[0.9775]  arg1_node[0.0167]  arg2_node[0.0058]  none
none[0.9948]  arg1_node[0.0022]  arg2_node[0.0030]  none
none[0.5415]  arg1_node[0.0101]  arg2_node[0.4484]  none
none[0.9870]  arg1_node[0.0001]  arg2_node[0.0129]  none
none[0.9743]  arg1_node[0.0007]  arg2_node[0.0250]  none
none[0.9870]  arg1_node[0.0001]  arg2_node[0.0129]  none
none[0.9870]  arg1_node[0.0001]  arg2_node[0.0129]  none
